o12_interventi_ingrin,b12_va
progressiva_asta,cebter
monitoraggio_secondario_coint,zbavgb
i55_attraversamento_aereo,v55_ng
o01_briglia_consolidamento,b01_oe
o02_briglia_trattenuta,b02_oe
o09_rafforzamento_arginale,b09_en
data,20180302
commessa,pbzzrf
servizio,freivm
storrisp,fgbeev
quota,1234
o06_rivestimenti_alveo,b06_ev
monitoraggio_secondario_detrito,zbavgb
autore,nhgber
ufficio,hssvpv
o08_rilevato_arginale,b08_ev
longitudine,46.12
latitudine,11.2
idrspacq,vqefcn
licenza,["pubblico"]
codice_asta,pbqvpr
comune,["22016"]
o03_piazza_deposito,b03_cv
o10_repellente,b10_er
i52_scarico_alveo,v52_fp
segnalazione,frtany
i53_attraversamento_viabilita,v53_ng
o05_opere_consolidamento,b05_bc
sviluppo,fivyhc
o11_drenaggi,b11_qe
cantiere,pnagvr
stazione,fgnmvb
i54_guado,v54_th
sistema,fvfgrz
o04_opera_spondale,b04_bc
punto_controllo,chagb_
i56_opera_presa,v56_bc
tipo,["esterno"]
i57_tombinatura,v57_gb
i51_dissesto,v51_qv
i58_attraversamenti_subalveo,v58_ng
aree_colpite,nerr_p
o07_cunettone,b07_ph
_fieldsDisplay,
o13_vallitomo,b13_in
sorgente,fbetra
monitoraggio_secondario_carenza_sistematoria,zbavgb
